Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
1,39.04936879,-84.68382028,874.995864,0.2240149124,-0.02055770679,0.1700156151,0,-0
2,39.04936878,-84.68382028,874.9944144,0.2361110019,-0.003527241834,0.1700900975,2.995442574,5.449226777e-05
3.01667,39.04936879,-84.68382028,874.9960005,0.2356921977,-0.01543543411,0.1700432804,2.480782305,-3.453239506e-05
4.00833,39.04936879,-84.68382028,874.9959637,0.2351967988,-0.01751806136,0.1700348235,2.294997433,-4.674909154e-05
5.025,39.04936879,-84.68382028,874.9959303,0.2347782232,-0.01891128364,0.1700291239,2.167049158,-3.103334069e-05
6.19167,39.04936879,-84.68382028,874.9959147,0.2345142065,-0.01959027993,0.1700263144,2.12319441,-2.229471773e-05
7,39.04936879,-84.68382028,874.9958963,0.2341115422,-0.02045806037,0.1700226904,2.14421475,-1.221272809e-05
8,39.04936879,-84.68382028,874.9958884,0.2338611221,-0.02091502697,0.1700207629,2.248983226,-7.673313026e-06
9.00833,39.04936879,-84.68382028,874.9958835,0.2336418815,-0.02126328019,0.1700192795,2.422538325,-5.340931449e-06
10,39.04936879,-84.68382028,874.9958823,0.2334373789,-0.02156470177,0.1700179885,2.603815948,-1.971215131e-06
11,39.04936879,-84.68382028,874.9958776,0.2332082257,-0.02177394731,0.1700170453,2.578656337,-6.288089984e-06
12,39.04936879,-84.68382028,874.9958733,0.2329754449,-0.02189806016,0.1700164335,2.586531947,-3.072539318e-06
13,39.04936879,-84.68382028,874.9957887,0.2327371884,-0.02107356743,0.1700195257,2.627268783,-5.84269638e-05
14.0083,39.04936879,-84.68382028,874.9957721,0.2324805067,-0.02022834858,0.1700226841,2.6992261,7.166604624e-06
15,39.04936879,-84.68382028,874.9957786,0.2321791766,-0.01971005481,0.1700245359,2.799348509,6.834904578e-06
16.0083,39.04936879,-84.68382028,874.9957814,0.2318256677,-0.01933042788,0.1700258129,2.924864923,1.05128821e-06
17,39.04936879,-84.68382028,874.9957823,0.2315459425,-0.01903559479,0.1700268002,2.973935079,4.934484005e-06
18.0083,39.04936879,-84.68382028,874.9957864,0.2315080448,-0.01885923077,0.170027467,2.973123609,4.412177045e-06
19.0083,39.04936879,-84.68382028,874.9957899,0.23150552,-0.01874487458,0.1700279125,2.972270472,3.077327904e-06
20.0083,39.04936879,-84.68382028,874.9957921,0.2315061584,-0.01867537225,0.1700281845,2.97143292,1.953915683e-06
21,39.04936879,-84.68382028,874.9957936,0.2315062878,-0.01863265686,0.1700283515,2.970603628,1.23420879e-06
22,39.04936879,-84.68382028,874.9957945,0.2315063767,-0.0186063588,0.1700284544,2.969782391,8.103982189e-07
23,39.04936879,-84.68382028,874.9957951,0.2315068492,-0.0185902939,0.1700285175,2.968955246,5.894192991e-07
24.0083,39.04936879,-84.68382028,874.9957955,0.2315075266,-0.01858039968,0.1700285565,2.96812208,3.39390201e-07
25.0167,39.04936879,-84.68382028,874.9957957,0.2315083542,-0.01857454045,0.1700285799,2.967289679,2.014594894e-07
26.0167,39.04936879,-84.68382028,874.9957961,0.2315087842,-0.01857291347,0.1700285865,2.966463078,3.018235625e-06
27.0167,39.04936879,-84.68382028,874.995814,0.2314569837,-0.01876235649,0.170027815,2.965615204,2.864990664e-05
28.0083,39.04936879,-84.68382028,874.9958526,0.231320645,-0.01934736809,0.1700254475,2.964777368,3.351331945e-05
29.0083,39.04936879,-84.68382028,874.9958777,0.2311582224,-0.02006053021,0.1700225655,2.963954182,1.615780248e-05
30.0083,39.04936879,-84.68382028,874.9958953,0.2309710331,-0.02078331826,0.1700196338,2.963131025,1.287846037e-05
31.0083,39.04936879,-84.68382028,874.9959108,0.2307585458,-0.02150128004,0.1700167093,2.962316266,1.170366811e-05
32.0167,39.04936879,-84.68382028,874.995925,0.2305180548,-0.02222456326,0.1700137514,2.961482407,1.044048026e-05
33.0083,39.04936879,-84.68382028,874.9959373,0.230267052,-0.02290775366,0.1700109476,2.960670606,9.065312069e-06
34.0083,39.04936879,-84.68382028,874.9959492,0.2300052344,-0.02356883107,0.1700082275,2.959853016,8.130158417e-06
35.0083,39.04936879,-84.68382028,874.9959597,0.2297389112,-0.02419506962,0.1700056443,2.959036962,7.211702187e-06
36.0083,39.04936879,-84.68382028,874.9959688,0.2294794775,-0.02477901777,0.1700032326,2.9582222,6.121018377e-06
37.025,39.04936879,-84.68382028,874.9959769,0.2292347393,-0.02531541496,0.1700010165,2.957408223,5.22794399e-06
38.0083,39.04936879,-84.68382028,874.9959839,0.229002862,-0.02580235688,0.169999002,2.956595521,4.999184858e-06
39.0083,39.04936879,-84.68382028,874.9959899,0.2287886158,-0.02624144276,0.1699971848,2.955782964,3.850939532e-06
40.0167,39.04936879,-84.68382028,874.9959953,0.2285910008,-0.02663574859,0.1699955519,2.954971057,3.523544837e-06
41.0083,39.04936879,-84.68382028,874.9960004,0.2284093158,-0.02698941666,0.1699940864,2.954159315,3.168585785e-06
42.0083,39.04936879,-84.68382028,874.9960048,0.2282428755,-0.02730475304,0.1699927786,2.953348151,3.447947974e-06
43.0083,39.04936879,-84.68382028,874.996008,0.228094023,-0.02756110319,0.1699917102,2.952538946,2.61256443e-06
44.0083,39.04936879,-84.68382028,874.9960121,0.2279593907,-0.02779382328,0.169990741,2.951728182,2.362750602e-06
45.0083,39.04936879,-84.68382028,874.9960157,0.2278366364,-0.02800515605,0.1699898611,2.950918022,2.264866537e-06
46.0083,39.04936879,-84.68382028,874.9960192,0.2277270498,-0.02819554068,0.1699890692,2.950108576,2.438805938e-06
47.0083,39.04936879,-84.68382028,874.9960222,0.2276281629,-0.02836537949,0.1699883627,2.949299533,2.359233682e-06
48.0083,39.04936879,-84.68382028,874.9960251,0.2275401114,-0.02851765891,0.1699877297,2.94849125,1.954596762e-06
49.0083,39.04936879,-84.68382028,874.996028,0.2274613378,-0.02865315913,0.1699871664,2.947683591,2.318590211e-06
50.0083,39.04936879,-84.68382028,874.9960304,0.2273898186,-0.02877237249,0.1699866701,2.946876248,1.935737197e-06
51.0083,39.04936879,-84.68382028,874.9960329,0.227325333,-0.02887943525,0.1699862244,2.946068378,2.688596773e-06
52.0083,39.04936879,-84.68382028,874.9960385,0.2272060393,-0.02901074208,0.169985661,2.945255528,6.84168988e-06
53.0083,39.04936879,-84.68382028,874.9960476,0.2269972343,-0.02920385765,0.169984819,2.94444042,1.068515544e-05
54.0083,39.04936879,-84.68382028,874.9960852,0.2261558341,-0.02974109643,0.1699823734,2.943529391,7.765474775e-05
55.0083,39.04936879,-84.68382028,874.9962294,0.2220876321,-0.03180327279,0.1699727344,2.942456683,0.0001802143054
56.0083,39.04937216,-84.68382028,874.9982955,0.1613562203,-0.02575756435,0.263084402,1.607714744,-0.005139396701
57.0083,39.04939931,-84.68381979,875.0212133,0.1365281189,-0.02159422735,1.050328615,6.385685313,-0.01445000171
58.0083,39.04945808,-84.68381737,875.0692005,0.08434111223,-0.02027602875,2.462554682,13.71635519,-0.02933855148
59.0083,39.04955226,-84.68381042,875.1404829,0.02290313313,-0.02338609107,4.329547615,21.2930582,-0.0519125857
60.0083,39.04968205,-84.68379512,875.2316837,-0.0448961048,-0.03424631775,6.681535377,28.93525737,-0.07642546116
61.0083,39.04984725,-84.68376834,875.3369407,-0.01375480238,-0.04694002741,7.695734474,36.58167116,-0.105096727
62.0083,39.0500486,-84.68373771,875.4571787,0.2309065598,-0.06099652467,4.5293017,44.13433802,-0.1338055371
63.0083,39.05028719,-84.68371725,875.6076858,0.3303340549,-0.05999282061,1.353960883,51.70760082,-0.1351437313
64.0083,39.0505629,-84.6837113,875.8025709,0.3191118802,-0.06104474898,358.8409247,59.33104592,-0.1342393661
65.0083,39.05087517,-84.68372038,876.0438411,0.280367221,-0.07931014732,357.0241777,66.90981423,-0.1318155135
